,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,41,42,43,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,411,415,418
8:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
8:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
8:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
8:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
8:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
8:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
8:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
9:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
9:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,9,,,9,
9:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,終日中止,,,,,,,,,,,,,,,9,,,9,9,,,9,
9:6,,,,,,,,,,,,,,,,,終日中止,,,,,終日中止,,,14,,,,,,,,,,,5,,,9,5,,,,,,,,,,,,,終日中止,,,,,,,,,,,,,,,9,,,9,9,,,9,
9:8,,,,0,0,,,0,,,5,,,,,5,終日中止,10,,,,終日中止,,,14,,,,,,,,,,5,5,,,5,5,,,,10,90,,5,15,0,終日中止,,0,終日中止,5,5,5,,,0,5,,0,5,5,,0,0,20,,,9,9,10,,9,50
9:10,,,,0,0,,,0,,,5,,,,,5,終日中止,10,,,,終日中止,,,14,,,,,,,,,,5,5,,,5,5,0,0,,10,120,,5,15,0,終日中止,,0,終日中止,5,5,5,,,0,5,,0,5,5,,0,0,20,,,9,9,10,,9,50
9:12,,,,0,0,,,0,,,5,,,,5,5,終日中止,10,5,,5,終日中止,,5,14,5,0,,,0,0,,20,5,5,5,0,,5,5,0,0,,10,120,,5,15,0,終日中止,,0,終日中止,5,5,5,,,5,5,,0,5,5,,0,0,20,,,9,9,10,,9,50
